flare_id,payload,start_time,peak_time,end_time,duration_minutes,peak_count,background,threshold,severity
FLR-001,SoLEXS,2026-06-12 02:12:03,2026-06-12 02:12:04,2026-06-12 02:12:04,0.02,70.0,12.27,54.01,WEAK
FLR-002,SoLEXS,2026-06-12 02:12:06,2026-06-12 02:12:06,2026-06-12 02:12:06,0.0,58.0,12.27,54.01,WEAK
FLR-003,SoLEXS,2026-06-12 02:12:08,2026-06-12 02:13:25,2026-06-12 02:17:38,5.5,217.0,12.27,54.01,STRONG
FLR-004,SoLEXS,2026-06-12 02:17:40,2026-06-12 02:17:40,2026-06-12 02:17:54,0.23,83.0,12.27,54.01,MODERATE
FLR-005,SoLEXS,2026-06-12 02:17:57,2026-06-12 02:17:57,2026-06-12 02:17:59,0.03,69.0,12.27,54.01,WEAK
FLR-006,SoLEXS,2026-06-12 02:18:01,2026-06-12 02:18:01,2026-06-12 02:18:02,0.02,78.0,12.27,54.01,MODERATE
FLR-007,SoLEXS,2026-06-12 02:18:04,2026-06-12 02:18:04,2026-06-12 02:18:04,0.0,56.0,12.27,54.01,WEAK
FLR-008,SoLEXS,2026-06-12 02:18:06,2026-06-12 02:18:06,2026-06-12 02:18:08,0.03,60.0,12.27,54.01,WEAK
FLR-009,SoLEXS,2026-06-12 02:18:11,2026-06-12 02:18:12,2026-06-12 02:18:12,0.02,69.0,12.27,54.01,WEAK
FLR-010,SoLEXS,2026-06-12 02:18:15,2026-06-12 02:18:15,2026-06-12 02:18:15,0.0,57.0,12.27,54.01,WEAK
FLR-011,SoLEXS,2026-06-12 02:18:20,2026-06-12 02:18:20,2026-06-12 02:18:20,0.0,61.0,12.27,54.01,WEAK
FLR-012,SoLEXS,2026-06-12 02:18:24,2026-06-12 02:18:24,2026-06-12 02:18:24,0.0,56.0,12.27,54.01,WEAK
FLR-013,SoLEXS,2026-06-12 02:18:31,2026-06-12 02:18:31,2026-06-12 02:18:31,0.0,60.0,12.27,54.01,WEAK
FLR-014,SoLEXS,2026-06-12 02:18:41,2026-06-12 02:18:41,2026-06-12 02:18:41,0.0,57.0,12.27,54.01,WEAK
FLR-015,SoLEXS,2026-06-12 02:31:50,2026-06-12 02:31:50,2026-06-12 02:31:50,0.0,56.0,12.27,54.01,WEAK
FLR-016,SoLEXS,2026-06-12 02:32:40,2026-06-12 02:32:40,2026-06-12 02:32:40,0.0,55.0,12.27,54.01,WEAK
FLR-017,SoLEXS,2026-06-12 02:32:44,2026-06-12 02:32:44,2026-06-12 02:32:45,0.02,58.0,12.27,54.01,WEAK
FLR-018,SoLEXS,2026-06-12 02:33:00,2026-06-12 02:33:00,2026-06-12 02:33:00,0.0,56.0,12.27,54.01,WEAK
FLR-019,SoLEXS,2026-06-12 02:33:10,2026-06-12 02:33:10,2026-06-12 02:33:10,0.0,56.0,12.27,54.01,WEAK
FLR-020,SoLEXS,2026-06-12 02:33:14,2026-06-12 02:33:14,2026-06-12 02:33:14,0.0,56.0,12.27,54.01,WEAK
FLR-021,SoLEXS,2026-06-12 02:33:29,2026-06-12 02:33:29,2026-06-12 02:33:29,0.0,56.0,12.27,54.01,WEAK
FLR-022,SoLEXS,2026-06-12 02:33:31,2026-06-12 02:33:31,2026-06-12 02:33:31,0.0,57.0,12.27,54.01,WEAK
FLR-023,SoLEXS,2026-06-12 02:33:40,2026-06-12 02:33:40,2026-06-12 02:33:40,0.0,59.0,12.27,54.01,WEAK
FLR-024,SoLEXS,2026-06-12 02:33:55,2026-06-12 02:33:56,2026-06-12 02:33:56,0.02,59.0,12.27,54.01,WEAK
FLR-025,SoLEXS,2026-06-12 02:34:03,2026-06-12 02:34:03,2026-06-12 02:34:03,0.0,56.0,12.27,54.01,WEAK
FLR-026,SoLEXS,2026-06-12 02:34:06,2026-06-12 02:34:06,2026-06-12 02:34:06,0.0,56.0,12.27,54.01,WEAK
FLR-027,SoLEXS,2026-06-12 02:34:15,2026-06-12 02:34:15,2026-06-12 02:34:15,0.0,57.0,12.27,54.01,WEAK
FLR-028,SoLEXS,2026-06-12 02:34:17,2026-06-12 02:34:17,2026-06-12 02:34:17,0.0,60.0,12.27,54.01,WEAK
FLR-029,SoLEXS,2026-06-12 02:34:20,2026-06-12 02:34:20,2026-06-12 02:34:20,0.0,59.0,12.27,54.01,WEAK
FLR-030,SoLEXS,2026-06-12 02:34:31,2026-06-12 02:34:31,2026-06-12 02:34:32,0.02,59.0,12.27,54.01,WEAK
FLR-031,SoLEXS,2026-06-12 02:34:35,2026-06-12 02:34:35,2026-06-12 02:34:35,0.0,58.0,12.27,54.01,WEAK
FLR-032,SoLEXS,2026-06-12 02:34:39,2026-06-12 02:34:39,2026-06-12 02:34:39,0.0,58.0,12.27,54.01,WEAK
FLR-033,SoLEXS,2026-06-12 02:34:47,2026-06-12 02:34:47,2026-06-12 02:34:47,0.0,62.0,12.27,54.01,WEAK
FLR-034,SoLEXS,2026-06-12 02:34:56,2026-06-12 02:34:56,2026-06-12 02:34:56,0.0,57.0,12.27,54.01,WEAK
FLR-035,SoLEXS,2026-06-12 02:34:58,2026-06-12 02:34:58,2026-06-12 02:34:58,0.0,57.0,12.27,54.01,WEAK
FLR-036,SoLEXS,2026-06-12 02:35:06,2026-06-12 02:35:06,2026-06-12 02:35:06,0.0,55.0,12.27,54.01,WEAK
FLR-037,SoLEXS,2026-06-12 02:35:14,2026-06-12 02:35:14,2026-06-12 02:35:14,0.0,58.0,12.27,54.01,WEAK
FLR-038,SoLEXS,2026-06-12 02:35:16,2026-06-12 02:35:16,2026-06-12 02:35:17,0.02,63.0,12.27,54.01,WEAK
FLR-039,SoLEXS,2026-06-12 02:35:22,2026-06-12 02:35:22,2026-06-12 02:35:22,0.0,55.0,12.27,54.01,WEAK
FLR-040,SoLEXS,2026-06-12 02:35:25,2026-06-12 02:35:25,2026-06-12 02:35:25,0.0,55.0,12.27,54.01,WEAK
FLR-041,SoLEXS,2026-06-12 02:35:31,2026-06-12 02:35:31,2026-06-12 02:35:31,0.0,59.0,12.27,54.01,WEAK
FLR-042,SoLEXS,2026-06-12 02:35:43,2026-06-12 02:35:43,2026-06-12 02:35:43,0.0,59.0,12.27,54.01,WEAK
FLR-043,SoLEXS,2026-06-12 02:35:51,2026-06-12 02:35:51,2026-06-12 02:35:51,0.0,57.0,12.27,54.01,WEAK
FLR-044,SoLEXS,2026-06-12 02:36:01,2026-06-12 02:36:01,2026-06-12 02:36:01,0.0,56.0,12.27,54.01,WEAK
FLR-045,SoLEXS,2026-06-12 02:36:12,2026-06-12 02:36:12,2026-06-12 02:36:12,0.0,59.0,12.27,54.01,WEAK
FLR-046,SoLEXS,2026-06-12 02:36:20,2026-06-12 02:36:20,2026-06-12 02:36:20,0.0,56.0,12.27,54.01,WEAK
FLR-047,SoLEXS,2026-06-12 02:36:50,2026-06-12 02:36:50,2026-06-12 02:36:50,0.0,56.0,12.27,54.01,WEAK
FLR-048,SoLEXS,2026-06-12 02:37:20,2026-06-12 02:37:20,2026-06-12 02:37:20,0.0,57.0,12.27,54.01,WEAK
FLR-049,SoLEXS,2026-06-12 02:37:37,2026-06-12 02:37:37,2026-06-12 02:37:37,0.0,59.0,12.27,54.01,WEAK
FLR-050,SoLEXS,2026-06-12 02:37:42,2026-06-12 02:37:42,2026-06-12 02:37:42,0.0,58.0,12.27,54.01,WEAK
FLR-051,SoLEXS,2026-06-12 02:38:09,2026-06-12 02:38:09,2026-06-12 02:38:09,0.0,55.0,12.27,54.01,WEAK
FLR-052,SoLEXS,2026-06-12 02:38:28,2026-06-12 02:38:28,2026-06-12 02:38:28,0.0,55.0,12.27,54.01,WEAK
FLR-053,SoLEXS,2026-06-12 02:38:52,2026-06-12 02:38:52,2026-06-12 02:38:52,0.0,58.0,12.27,54.01,WEAK
FLR-054,SoLEXS,2026-06-12 02:39:04,2026-06-12 02:39:04,2026-06-12 02:39:04,0.0,57.0,12.27,54.01,WEAK
FLR-055,SoLEXS,2026-06-12 02:39:55,2026-06-12 02:39:55,2026-06-12 02:39:55,0.0,55.0,12.27,54.01,WEAK
FLR-056,SoLEXS,2026-06-12 19:16:45,2026-06-12 19:16:45,2026-06-12 19:16:45,0.0,57.0,12.27,54.01,WEAK
FLR-057,SoLEXS,2026-06-12 19:22:05,2026-06-12 19:22:05,2026-06-12 19:22:05,0.0,62.0,12.27,54.01,WEAK
FLR-058,SoLEXS,2026-06-12 19:23:05,2026-06-12 19:23:05,2026-06-12 19:23:05,0.0,57.0,12.27,54.01,WEAK
FLR-059,SoLEXS,2026-06-12 19:27:16,2026-06-12 19:27:16,2026-06-12 19:27:16,0.0,55.0,12.27,54.01,WEAK
FLR-060,SoLEXS,2026-06-12 19:29:29,2026-06-12 19:29:29,2026-06-12 19:29:29,0.0,58.0,12.27,54.01,WEAK
