event_id,soft_id,soft_peak,class_solexs,class_goes,soft_peak_counts,soft_sig,hard_id,hard_peak,hard_peak_counts,hard_sig,coincidence,neupert_lead_s,nonthermal_peak_counts,hardness_ratio,confidence
EVT-0001,SLX-0001,2024-09-11 06:35:17,C5.4,C5.5,241.0,12.404559521672423,HLS-0019,2024-09-11 06:33:00,138.0,49.51334596420877,True,,7.0,0.0,DUAL-CONFIRMED
EVT-0002,SLX-0002,2024-09-11 08:28:30,C4.7,C3.1,209.0,15.952481225516951,HLS-0021,2024-09-11 08:25:30,293.0,128.79751550398788,True,,10.0,0.02564102564102564,DUAL-CONFIRMED
EVT-0003,SLX-0003,2024-09-11 09:57:48,C5.9,C5.9,268.0,13.943947165399054,HLS-0023,2024-09-11 09:52:20,338.0,94.108093877909,True,,8.0,0.024691358024691357,DUAL-CONFIRMED
EVT-0004,SLX-0004,2024-09-11 11:17:19,C5.0,C4.6,222.0,15.468615468623204,HLS-0025,2024-09-11 11:14:30,312.0,115.2791642678143,True,,7.0,0.03355704697986577,DUAL-CONFIRMED
EVT-0005,SLX-0005,2024-09-11 12:36:25,M2.1,M1.8,1201.0,103.404408404864,HLS-0027,2024-09-11 12:34:00,5244.0,1698.2960578179532,True,205.0,40.0,0.003305785123966942,DUAL-CONFIRMED
EVT-0006,SLX-0006,2024-09-11 13:32:24,C7.7,C7.4,368.0,6.93097487359554,HLS-0028,2024-09-11 13:30:00,340.0,82.42308242312363,True,,7.0,0.0,DUAL-CONFIRMED
EVT-0007,SLX-0007,2024-09-11 13:57:27,M1.0,C9.1,511.0,8.687175009535737,HLS-0029,2024-09-11 13:51:50,309.0,21.84722058112699,True,,6.0,0.010416666666666666,DUAL-CONFIRMED
EVT-0008,SLX-0008,2024-09-11 15:30:19,M2.2,M1.9,1255.0,78.0271585228154,HLS-0030,2024-09-11 15:27:10,2551.0,476.6132004646355,True,,9.0,0.0033200531208499337,DUAL-CONFIRMED
EVT-0009,SLX-0009,2024-09-11 17:26:52,M1.9,M1.6,1053.0,86.6518139681263,HLS-0035,2024-09-11 17:24:30,1900.0,715.4867474064671,True,,7.0,0.005415162454873646,DUAL-CONFIRMED
EVT-0010,SLX-0010,2024-09-11 17:51:25,M2.4,M2.0,1398.0,63.44357689028538,HLS-0036,2024-09-11 17:49:40,4248.0,853.2758543832524,True,195.0,28.0,0.0017772511848341231,DUAL-CONFIRMED
EVT-0011,SLX-0011,2024-09-11 19:48:53,C7.1,C6.7,335.0,15.435438334345005,HLS-0041,2024-09-11 19:48:20,316.0,91.9609600962179,True,,8.0,0.00909090909090909,DUAL-CONFIRMED
EVT-0012,SLX-0012,2024-09-11 20:53:48,C7.3,C7.4,346.0,6.2598071204459,HLS-0043,2024-09-11 20:51:20,88.0,18.41501841502762,True,,7.0,0.19047619047619047,DUAL-CONFIRMED
EVT-0013,SLX-0013,2024-09-12 00:11:24,M5.2,M4.9,3498.0,271.0157379200778,HLS-0049,2024-09-12 00:07:40,5231.0,1283.721159423461,True,,18.0,0.0022733013387218996,DUAL-CONFIRMED
EVT-0014,SLX-0014,2024-09-12 02:43:25,M1.0,C9.9,513.0,18.1682239249466,HLS-0052,2024-09-12 02:42:20,341.0,110.66666666666667,True,,8.0,0.061224489795918366,DUAL-CONFIRMED
EVT-0015,SLX-0015,2024-09-12 03:04:46,C7.9,C7.5,378.0,9.256873858444704,HLS-0053,2024-09-12 03:04:10,288.0,87.91131895268094,True,,6.0,0.023255813953488372,DUAL-CONFIRMED
EVT-0016,SLX-0016,2024-09-12 04:04:59,M1.3,M1.1,665.0,32.61496993308845,HLS-0057,2024-09-12 04:03:20,695.0,169.75,True,,7.0,0.0061162079510703364,DUAL-CONFIRMED
EVT-0017,SLX-0017,2024-09-12 04:32:31,M1.4,M1.2,723.0,31.94806557689171,HLS-0058,2024-09-12 04:31:30,1698.0,357.32440061200305,True,71.0,72.0,0.00505902192242833,DUAL-CONFIRMED
EVT-0018,SLX-0018,2024-09-12 05:21:45,C7.4,C6.6,352.0,11.921224048816711,HLS-0059,2024-09-12 05:21:10,336.0,97.99118698777318,True,,7.0,0.0,DUAL-CONFIRMED
EVT-0019,SLX-0019,2024-09-12 05:37:48,C8.5,C8.0,413.0,11.877971230054628,,,,,False,,6.0,0.006289308176100629,SOFT-ONLY
EVT-0020,SLX-0020,2024-09-12 06:18:02,M3.2,M2.7,1975.0,130.93626289602307,HLS-0060,2024-09-12 06:15:40,5091.0,1408.3837982158568,True,,7.0,0.003115264797507788,DUAL-CONFIRMED
EVT-0021,SLX-0021,2024-09-12 06:55:50,M1.3,M1.2,652.0,6.810880727195826,HLS-0061,2024-09-12 06:55:40,145.0,31.04456000465062,True,,6.0,0.026785714285714284,DUAL-CONFIRMED
EVT-0022,SLX-0022,2024-09-12 07:45:29,C8.0,C7.6,383.0,6.7082039324993685,HLS-0063,2024-09-12 07:45:10,218.0,64.03589023426814,True,,6.0,0.020618556701030927,DUAL-CONFIRMED
EVT-0023,SLX-0023,2024-09-12 08:43:25,M1.0,—,520.0,26.13675696248731,HLS-0065,2024-09-12 08:35:30,1105.0,315.5219221121305,True,,11.0,0.0,DUAL-CONFIRMED
EVT-0024,SLX-0024,2024-09-12 09:43:43,X1.2,X1.3,9278.0,574.4468852796039,HLS-0069,2024-09-12 09:41:10,88914.0,17661.4,True,233.0,420.0,0.005713630105553006,DUAL-CONFIRMED
EVT-0025,SLX-0025,2024-09-12 12:10:47,C8.4,C8.2,411.0,16.476761559772132,HLS-0073,2024-09-12 12:01:40,754.0,235.2734579165274,True,,8.0,0.04081632653061224,DUAL-CONFIRMED
EVT-0026,SLX-0026,2024-09-12 13:21:25,M1.3,M1.2,710.0,23.21252030860537,HLS-0075,2024-09-12 13:19:20,442.0,106.5,True,,5.0,0.017699115044247787,DUAL-CONFIRMED
