row,priority,date,flare_class,peak_utc,imagetime_from,imagetime_to,filter,binning,window,n_Mplus_day,done
1,1,2024-10-03,X7.1,12:17,2024-10-03 10:17:00,2024-10-03 13:17:00,NB03,Binned,peak -2h..+1h,1,
2,1,2026-02-01,X7.1,23:56,2026-02-01 21:56:00,2026-02-02 00:56:00,NB03,Binned,peak -2h..+1h,1,
3,1,2024-10-01,X5.8,22:17,2024-10-01 20:17:00,2024-10-01 23:17:00,NB03,Binned,peak -2h..+1h,1,
4,1,2024-09-14,X4.4,15:29,2024-09-14 13:29:00,2024-09-14 16:29:00,NB03,Binned,peak -2h..+1h,1,
5,1,2025-11-14,X4.0,08:30,2025-11-14 06:30:00,2025-11-14 09:30:00,NB03,Binned,peak -2h..+1h,1,
6,1,2024-10-24,X3.1,03:53,2024-10-24 01:53:00,2024-10-24 04:53:00,NB03,Binned,peak -2h..+1h,1,
7,1,2026-02-02,X2.8,00:36,2026-02-01 22:36:00,2026-02-02 01:36:00,NB03,Binned,peak -2h..+1h,2,
8,1,2025-05-14,X2.6,08:25,2025-05-14 06:25:00,2025-05-14 09:25:00,NB03,Binned,peak -2h..+1h,1,
9,1,2026-04-24,X2.5,01:07,2026-04-23 23:07:00,2026-04-24 02:07:00,NB03,Binned,peak -2h..+1h,2,
10,1,2024-10-07,X2.1,19:11,2024-10-07 17:11:00,2024-10-07 20:11:00,NB03,Binned,peak -2h..+1h,1,
11,1,2024-10-31,X2.0,21:19,2024-10-31 19:19:00,2024-10-31 22:19:00,NB03,Binned,peak -2h..+1h,1,
12,1,2025-02-23,X2.0,19:27,2025-02-23 17:27:00,2025-02-23 20:27:00,NB03,Binned,peak -2h..+1h,1,
13,1,2024-07-16,X1.9,13:25,2024-07-16 11:25:00,2024-07-16 14:25:00,NB03,Binned,peak -2h..+1h,1,
14,1,2025-06-19,X1.9,23:50,2025-06-19 21:50:00,2025-06-20 00:50:00,NB03,Binned,peak -2h..+1h,1,
15,1,2025-12-01,X1.9,02:48,2025-12-01 00:48:00,2025-12-01 03:48:00,NB03,Binned,peak -2h..+1h,1,
16,1,2026-01-18,X1.9,18:07,2026-01-18 16:07:00,2026-01-18 19:07:00,NB03,Binned,peak -2h..+1h,1,
17,1,2024-10-09,X1.8,01:54,2024-10-08 23:54:00,2024-10-09 02:54:00,NB03,Binned,peak -2h..+1h,2,
18,1,2024-10-26,X1.8,07:10,2024-10-26 05:10:00,2024-10-26 08:10:00,NB03,Binned,peak -2h..+1h,1,
19,1,2025-01-04,X1.8,12:47,2025-01-04 10:47:00,2025-01-04 13:47:00,NB03,Binned,peak -2h..+1h,1,
20,1,2025-11-04,X1.8,17:34,2025-11-04 15:34:00,2025-11-04 18:34:00,NB03,Binned,peak -2h..+1h,2,
21,1,2025-11-09,X1.8,07:33,2025-11-09 05:33:00,2025-11-09 08:33:00,NB03,Binned,peak -2h..+1h,1,
22,1,2024-08-05,X1.7,13:40,2024-08-05 11:40:00,2024-08-05 14:40:00,NB03,Binned,peak -2h..+1h,2,
23,1,2024-12-30,X1.6,04:13,2024-12-30 02:13:00,2024-12-30 05:13:00,NB03,Binned,peak -2h..+1h,2,
24,1,2024-07-29,X1.5,02:37,2024-07-29 00:37:00,2024-07-29 03:37:00,NB03,Binned,peak -2h..+1h,1,
25,1,2026-03-30,X1.5,03:18,2026-03-30 01:18:00,2026-03-30 04:18:00,NB03,Binned,peak -2h..+1h,1,
26,1,2024-08-08,X1.3,19:35,2024-08-08 17:35:00,2024-08-08 20:35:00,NB03,Binned,peak -2h..+1h,1,
27,1,2024-09-12,X1.3,09:43,2024-09-12 07:43:00,2024-09-12 10:43:00,NB03,Binned,peak -2h..+1h,1,
